type	name	value	zone	address	bytes	access	other
Internal	R0	0x2			4	readWrite	strong	
Internal	R1	0x200004a2			4	readWrite	strong	
Internal	R2	0x1			4	readWrite	strong	
Internal	R3	0x0			4	readWrite	strong	
Internal	R4	0x1			4	readWrite	strong	
Internal	R5	0xffffffff			4	readWrite	strong	
Internal	R6	0xffffffff			4	readWrite	strong	
Internal	R7	0xffffffff			4	readWrite	strong	
Internal	R8	0xffffffff			4	readWrite	strong	
Internal	R9	0xffffffff			4	readWrite	strong	
Internal	R10	0xffffffff			4	readWrite	strong	
Internal	R11	0xffffffff			4	readWrite	strong	
Internal	R12	0xffffffff			4	readWrite	strong	
Internal	R13	0x20000c80			4	readWrite	strong	
Internal	R14	0x8000f73			4	readWrite	strong	
Internal	PC	0x8000f7e			4	readWrite	strong	
Internal	APSR	0x20000000			4	readWrite	strong	
Internal	IAPSR	0x2000000b			4	readWrite	strong	
Internal	EAPSR	0x21000000			4	readWrite	strong	
Internal	xPSR	0x2100000b			4	readWrite	strong	
Internal	IPSR	0xb			4	readWrite	strong	
Internal	EPSR	0x1000000			4	readWrite	strong	
Internal	IEPSR	0x100000b			4	readWrite	strong	
Internal	R13_main	0x20000c80			4	readWrite	strong	
Internal	R13_proc	0x20000198			4	readWrite	strong	
Internal	PRIMASK	0x0			4	readWrite	strong	
Internal	CONTROL	0x0			4	readWrite	strong	
Internal	CFBP	0x0			4	readWrite	strong	
Internal	SP	0x20000c80			4	readWrite	strong	
Internal	LR	0x8000f73			4	readWrite	strong	
Internal	R15	0x8000f7e			4	readWrite	strong	
Internal	SP_process	0x20000198			4	readWrite	strong	
Internal	R13_process	0x20000198			4	readWrite	strong	
Internal	PSP	0x20000198			4	readWrite	strong	
Internal	SP_main	0x20000c80			4	readWrite	strong	
Internal	MSP	0x20000c80			4	readWrite	strong	
Internal	CYCLECOUNTER	0x0			8	readOnly	strong	
Internal	CCTIMER1	0x0			8	readWrite	strong	
Internal	CCTIMER2	0x0			8	readWrite	strong	
Internal	CCSTEP	0x0			8	readOnly	strong	
Factory	CRC_DR	0x0	Memory	0x40023000	4	readWrite	strong	
Factory	CRC_IDR	0x0	Memory	0x40023004	4	readWrite	strong	
Factory	CRC_CR	0x0	Memory	0x40023008	4	readWrite	strong	
Factory	CRC_INIT	0x0	Memory	0x4002300c	4	readWrite	strong	
Factory	GPIOF_MODER	0x0	Memory	0x48001400	4	readWrite	strong	
Factory	GPIOF_OTYPER	0x0	Memory	0x48001404	4	readWrite	strong	
Factory	GPIOF_OSPEEDR	0x0	Memory	0x48001408	4	readWrite	strong	
Factory	GPIOF_PUPDR	0x0	Memory	0x4800140c	4	readWrite	strong	
Factory	GPIOF_IDR	0x0	Memory	0x48001410	4	readOnly	strong	
Factory	GPIOF_ODR	0x0	Memory	0x48001414	4	readWrite	strong	
Factory	GPIOF_BSRR	0x0	Memory	0x48001418	4	writeOnly	strong	
Factory	GPIOF_LCKR	0x0	Memory	0x4800141c	4	readWrite	strong	
Factory	GPIOF_AFRL	0x0	Memory	0x48001420	4	readWrite	strong	
Factory	GPIOF_AFRH	0x0	Memory	0x48001424	4	readWrite	strong	
Factory	GPIOF_BRR	0x0	Memory	0x48001428	4	writeOnly	strong	
